model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs	complex	run	score_rank
../6_seletopclusts/cluster_1_model_5.pdb	-	5	-86.628	2.143	0.226	6.632	4.231	0.392	3.006	1	1	5	0.085	547.232	104.097	1716.62	0	0	0	1.423	4484.65	-338.582	147.943	0	0	0	-358.84	-20.343	0	0	1KXP	oracle	5
../6_seletopclusts/cluster_1_model_6.pdb	-	6	-85.203	2.249	0.236	5.327	4.236	0.421	2.831	1	1	6	0.005	538.574	104.482	1622.42	0	0	0	1.487	4471.14	-326.225	150.661	0	0	0	-347.666	-21.446	0	0	1KXP	oracle	6
../6_seletopclusts/cluster_1_model_7.pdb	-	7	-83.167	2.16	0.245	7.37	4.91	0.38	2.965	1	1	7	0.109	546.632	104.731	1709.47	0	0	0	-3.017	4462.37	-269.969	152.149	0	0	0	-296.027	-26.167	0	0	1KXP	oracle	7
../6_seletopclusts/cluster_1_model_8.pdb	-	8	-79.426	2.003	0.245	5.033	3.873	0.448	2.607	1	1	8	0.02	549.354	105.564	1743.34	0	0	0	7.076	4478.67	-377.433	150.881	0	0	0	-388.43	-11.017	0	0	1KXP	oracle	8
../6_seletopclusts/cluster_1_model_9.pdb	-	9	-76.148	2.228	0.198	6.08	4.633	0.391	2.863	1	1	9	0.044	545.032	102.851	1662.97	0	0	0	7.883	4477.92	-296.8	155.921	0	0	0	-321.431	-24.675	0	0	1KXP	oracle	9
../6_seletopclusts/cluster_1_model_1.pdb	-	1	-51.513	1.984	0.528	6.294	3.588	0.512	2.625	1	1	1	0	221.36	45.985	895.643	0	0	0	-7.133	1906.59	-78.579	70.632	0	0	0	-107.244	-28.664	0	0	1US7	oracle	1
../6_seletopclusts/cluster_1_model_2.pdb	-	2	-48.573	3.064	0.556	9.31	6.123	0.401	3.698	1	1	2	0	237.579	48.176	868.081	0	0	0	-0.821	1893.36	-151.223	73.538	0	0	0	-168.73	-17.507	0	0	1US7	oracle	2
../6_seletopclusts/cluster_1_model_3.pdb	-	3	-43.952	3.281	0.5	9.093	6.973	0.38	3.815	1	1	3	0	230.941	48.423	856.849	0	0	0	-4.361	1915.02	-74.753	69.592	0	0	0	-99.394	-24.641	0	0	1US7	oracle	3
../6_seletopclusts/cluster_1_model_4.pdb	-	4	-42.669	3.701	0.528	9.928	7.226	0.364	4.438	1	1	4	0	238.12	48.837	713.941	0	0	0	-3.689	1900.82	-91.864	72.774	0	0	0	-112.471	-20.607	0	0	1US7	oracle	4
../6_seletopclusts/cluster_1_model_5.pdb	-	5	-40.562	2.499	0.472	6.519	4.921	0.456	2.957	1	1	5	0	227.094	47.35	735.874	0	0	0	-3.687	1890.19	-73.462	71.319	0	0	0	-95.644	-22.182	0	0	1US7	oracle	5
../6_seletopclusts/cluster_1_model_6.pdb	-	6	-40.161	3.673	0.417	10.074	7.36	0.325	4.303	1	1	6	0	224.175	45.211	596.355	0	0	0	-4.7	1906.32	-87.474	67.63	0	0	0	-105.441	-17.967	0	0	1US7	oracle	6
../6_seletopclusts/cluster_1_model_1.pdb	-	1	-70.049	2.948	0.22	6.685	5.342	0.348	3.68	1	1	1	0	158.053	38.237	1099.74	0	0	0	-16.094	1387.88	-89.914	50.753	0	0	0	-125.886	-35.973	0	0	1Z5Y	oracle	1
../6_seletopclusts/cluster_1_model_2.pdb	-	2	-64.049	2.434	0.22	4.989	4.411	0.413	2.697	1	1	2	0	160.727	39.037	1074	0	0	0	-20.793	1391.28	-71.946	51.927	0	0	0	-100.812	-28.866	0	0	1Z5Y	oracle	2
../6_seletopclusts/cluster_1_model_3.pdb	-	3	-63.483	2.905	0.24	6.175	5.467	0.368	3.459	1	1	3	0	162.752	38.495	1010.12	0	0	0	-16.795	1401.75	-77.714	53.069	0	0	0	-108.859	-31.145	0	0	1Z5Y	oracle	3
../6_seletopclusts/cluster_1_model_4.pdb	-	4	-57.745	3.224	0.26	6.918	6.214	0.346	3.853	1	1	4	0.457	161.286	37.892	963.126	0	0	0	-17.117	1389.6	-77.235	50.197	0	0	0	-102.004	-25.227	0	0	1Z5Y	oracle	4
../6_seletopclusts/cluster_1_model_5.pdb	-	5	-57.156	2.777	0.22	6.324	5.633	0.363	3.064	1	1	5	0.122	160.057	39.6	1032.86	0	0	0	-20.381	1387.86	-62.812	52.479	0	0	0	-86.915	-24.225	0	0	1Z5Y	oracle	5
../6_seletopclusts/cluster_1_model_6.pdb	-	6	-56.594	3.157	0.24	6.676	5.981	0.348	3.753	1	1	6	0.106	161.115	38.161	975.36	0	0	0	-16.017	1382.05	-78.139	50.242	0	0	0	-102.992	-24.959	0	0	1Z5Y	oracle	6
../6_seletopclusts/cluster_1_model_7.pdb	-	7	-51.542	2.694	0.18	5.335	5.043	0.378	2.867	1	1	7	0.195	160.227	38.828	850.852	0	0	0	-19.306	1379.96	-43.489	51.566	0	0	0	-66.853	-23.558	0	0	1Z5Y	oracle	7
../6_seletopclusts/cluster_1_model_8.pdb	-	8	-50.042	3.195	0.2	6.645	6.032	0.334	3.759	1	1	8	0.249	160.52	38.317	896.642	0	0	0	-16.167	1382.31	-67.015	50.074	0	0	0	-87.264	-20.497	0	0	1Z5Y	oracle	8
../6_seletopclusts/cluster_1_model_9.pdb	-	9	-44.588	2.61	0.2	6.05	5.42	0.371	2.697	1	1	9	0.04	160.149	40.82	788.457	0	0	0	-16.978	1378.63	-45.417	50.035	0	0	0	-63.908	-18.531	0	0	1Z5Y	oracle	9
../6_seletopclusts/cluster_1_model_1.pdb	-	1	-72.977	2.524	0.216	7.468	5.334	0.347	3.993	1	1	1	0	381.968	74.272	1036.25	0	0	0	-6.512	2949.48	-168.221	118.213	0	0	0	-201.041	-32.821	0	0	1ZHH	oracle	1
../6_seletopclusts/cluster_1_model_2.pdb	-	2	-71.404	2.395	0.284	7.84	5.576	0.369	3.795	1	1	2	0	380.862	74.316	1158.88	0	0	0	-9.863	2959.73	-151.131	115.744	0	0	0	-182.446	-31.315	0	0	1ZHH	oracle	2
../6_seletopclusts/cluster_1_model_3.pdb	-	3	-64.502	2.432	0.216	7.867	5.417	0.343	3.832	1	1	3	0	383.197	73.924	1043.08	0	0	0	-12.032	2960.14	-120.31	114.653	0	0	0	-148.718	-28.408	0	0	1ZHH	oracle	3
../6_seletopclusts/cluster_1_model_4.pdb	-	4	-63.294	2.144	0.284	5.792	4.011	0.432	3.481	1	1	4	0	385.508	74.094	1119.53	0	0	0	-11.627	2958.99	-156.759	115.398	0	0	0	-177.075	-20.316	0	0	1ZHH	oracle	4
../6_seletopclusts/cluster_1_model_1.pdb	-	1	-86.448	2.674	0.488	12.992	7.563	0.342	3.838	1	1	1	0	233.073	47.449	1252.41	0	0	0	-11.488	1763.76	-169.901	68.752	0	0	0	-210.881	-40.98	0	0	1ZHI	oracle	1
../6_seletopclusts/cluster_1_model_2.pdb	-	2	-68.337	1.771	0.585	7.342	4.57	0.525	2.38	1	1	2	0	236.75	47.576	1085.12	0	0	0	-16.808	1756.28	-60.512	68.403	0	0	0	-99.938	-39.426	0	0	1ZHI	oracle	2
../6_seletopclusts/cluster_1_model_3.pdb	-	3	-68.236	2.283	0.488	9.857	5.686	0.405	3.176	1	1	3	0	233.326	47.732	1093.76	0	0	0	-12.707	1751.94	-127.645	66.472	0	0	0	-157.645	-30	0	0	1ZHI	oracle	3
../6_seletopclusts/cluster_1_model_4.pdb	-	4	-64.872	2.365	0.512	9.344	5.495	0.417	3.171	1	1	4	0	225.245	46.863	992.014	0	0	0	-13.405	1745.02	-93.479	62.658	0	0	0	-126.25	-32.771	0	0	1ZHI	oracle	4
../6_seletopclusts/cluster_1_model_5.pdb	-	5	-61.156	1.864	0.537	8.197	5.378	0.483	2.467	1	1	5	0	237.792	49.008	1001.31	0	0	0	-16.342	1753.24	-52.482	68.433	0	0	0	-86.8	-34.318	0	0	1ZHI	oracle	5
../6_seletopclusts/cluster_1_model_6.pdb	-	6	-55.56	2.95	0.317	13.023	7.51	0.274	4.094	1	1	6	0	231.046	47.298	917.594	0	0	0	-13.536	1751.11	-111.123	67.033	0	0	0	-130.922	-19.799	0	0	1ZHI	oracle	6
../6_seletopclusts/cluster_1_model_7.pdb	-	7	-53.422	17.843	0.366	65.726	26.663	0.13	39.141	1	1	7	1.278	224.462	45.712	919.951	0	0	0	-12.717	1725.66	-45.242	61.496	0	0	0	-75.748	-31.785	0	0	1ZHI	oracle	7
../6_seletopclusts/cluster_1_model_1.pdb	-	1	-77.257	2.363	0.352	5.171	4.547	0.456	2.503	1	1	1	0	368.278	76.389	1476.59	0	0	0	16.553	3032.59	-384.179	93.278	0	0	0	-401.153	-16.974	0	0	2A5T	oracle	1
../6_seletopclusts/cluster_1_model_2.pdb	-	2	-51.88	2.817	0.296	6.297	5.63	0.388	2.697	1	1	2	0.045	371.092	78.089	1091.69	0	0	0	11.23	3033.72	-220.618	94.252	0	0	0	-239.564	-18.99	0	0	2A5T	oracle	2
../6_seletopclusts/cluster_1_model_3.pdb	-	3	-50.905	2.279	0.259	4.403	4.021	0.45	2.354	1	1	3	0	359.361	75.37	1071.9	0	0	0	5.094	3020.54	-166.194	91.394	0	0	0	-188.954	-22.761	0	0	2A5T	oracle	3
../6_seletopclusts/cluster_1_model_4.pdb	-	4	-46.343	2.608	0.278	4.948	4.758	0.424	2.618	1	1	4	0.068	355.091	77.04	1001.13	0	0	0	9.824	3030.01	-169.179	92.856	0	0	0	-191.449	-22.338	0	0	2A5T	oracle	4
../6_seletopclusts/cluster_1_model_5.pdb	-	5	-43.137	2.929	0.296	6.244	5.676	0.385	3.063	1	1	5	1.083	367.381	77.913	1300.81	0	0	0	11.976	3025.17	-186.261	95.641	0	0	0	-203.148	-17.969	0	0	2A5T	oracle	5
../6_seletopclusts/cluster_1_model_6.pdb	-	6	-32.611	2.379	0.259	5.233	4.563	0.423	2.356	1	1	6	0	358.335	75.375	878.514	0	0	0	7.696	3017.8	-119.807	95.04	0	0	0	-136.152	-16.345	0	0	2A5T	oracle	6
../6_seletopclusts/cluster_1_model_7.pdb	-	7	-30.804	2.577	0.241	5.247	4.928	0.406	2.51	1	1	7	0.069	362.031	77.438	877.288	0	0	0	2.014	3021.29	-53.757	95.268	0	0	0	-75.761	-22.073	0	0	2A5T	oracle	7
../6_seletopclusts/cluster_1_model_8.pdb	-	8	-30.131	2.692	0.241	5.136	5.059	0.403	2.644	1	1	8	0.215	354.073	74.901	831.4	0	0	0	3.312	3019.44	-62.479	93.13	0	0	0	-83.231	-20.968	0	0	2A5T	oracle	8
../6_seletopclusts/cluster_1_model_9.pdb	-	9	-19.444	2.689	0.222	5.506	5.11	0.388	2.794	1	1	9	0.589	354.359	76.052	665.79	0	0	0	5.065	3016.5	-29.42	96.094	0	0	0	-47.515	-18.684	0	0	2A5T	oracle	9
../6_seletopclusts/cluster_1_model_1.pdb	-	1	-78.032	2.262	0.365	4.839	4.442	0.475	2.215	1	1	1	0	545.648	105.343	1466.2	0	0	0	-12.076	4319.84	-118.738	144.58	0	0	0	-160.946	-42.208	0	0	2AJF	oracle	1
../6_seletopclusts/cluster_1_model_2.pdb	-	2	-65.906	1.855	0.404	4.74	3.277	0.521	2.135	1	1	2	0	532.184	103.513	1306.85	0	0	0	-9.779	4331.86	-107.015	146.161	0	0	0	-141.739	-34.724	0	0	2AJF	oracle	2
../6_seletopclusts/cluster_1_model_3.pdb	-	3	-65.527	1.991	0.404	5.22	3.43	0.497	2.345	1	1	3	0.359	538.493	101.642	1284.26	0	0	0	-6.474	4312.93	-121.899	145.035	0	0	0	-156.249	-34.709	0	0	2AJF	oracle	3
../6_seletopclusts/cluster_1_model_4.pdb	-	4	-53.512	1.769	0.346	4.326	3.75	0.52	1.884	1	1	4	0.001	524.252	99.414	1117.47	0	0	0	-10.909	4331.81	-69.266	143.779	0	0	0	-98.013	-28.749	0	0	2AJF	oracle	4
../6_seletopclusts/cluster_1_model_5.pdb	-	5	-50.451	1.931	0.385	6.322	3.518	0.468	2.607	1	1	5	0.443	547.767	101.992	1089.56	0	0	0	-9.777	4350.35	-79.547	148.323	0	0	0	-103.913	-24.81	0	0	2AJF	oracle	5
../6_seletopclusts/cluster_1_model_6.pdb	-	6	-42.685	1.869	0.404	5.285	3.335	0.506	2.289	1	1	6	0	535.55	100.737	1062.82	0	0	0	-3.044	4326.45	-63.479	143.085	0	0	0	-90.424	-26.945	0	0	2AJF	oracle	6
../6_seletopclusts/cluster_1_model_1.pdb	-	1	-122.359	3.175	0.286	11.626	6.359	0.272	5.41	1	1	1	39.619	228.191	49.398	2429.29	0	0	0	11.202	2256.24	-385.539	70.158	0	0	0	-406.335	-60.415	0	0	2C0L	oracle	1
../6_seletopclusts/cluster_1_model_2.pdb	-	2	-120.456	3.12	0.364	11.581	6.268	0.3	5.364	1	1	2	2.365	223.167	50.433	2385.64	0	0	0	13.277	2265.87	-301.128	68.399	0	0	0	-372.507	-73.744	0	0	2C0L	oracle	2
../6_seletopclusts/cluster_1_model_3.pdb	-	3	-114.887	3.124	0.273	11.381	6.282	0.273	5.308	1	1	3	38.467	227.684	52.101	2407.21	0	0	0	9.254	2272.18	-334.933	71.302	0	0	0	-357.468	-61.001	0	0	2C0L	oracle	3
../6_seletopclusts/cluster_1_model_4.pdb	-	4	-110.085	3.041	0.286	11.149	6.086	0.283	5.157	1	1	4	33.425	228.562	51.108	2364.09	0	0	0	9.377	2288.26	-295.994	69.054	0	0	0	-326.176	-63.606	0	0	2C0L	oracle	4
../6_seletopclusts/cluster_1_model_5.pdb	-	5	-102.922	3.139	0.299	11.499	6.454	0.279	5.247	1	1	5	42.652	233.383	53.419	2340.66	0	0	0	10.424	2269.15	-278.052	69.341	0	0	0	-297.401	-62.001	0	0	2C0L	oracle	5
../6_seletopclusts/cluster_1_model_6.pdb	-	6	-99.246	3.039	0.273	11.028	6.176	0.28	5.067	1	1	6	39.405	228.504	50.754	2250.34	0	0	0	6.808	2256.8	-281.029	65.125	0	0	0	-295.412	-53.788	0	0	2C0L	oracle	6
../6_seletopclusts/cluster_1_model_7.pdb	-	7	-95.871	2.992	0.273	10.854	5.948	0.285	5.063	1	1	7	34.873	230.739	50.261	2219.7	0	0	0	7.264	2255.68	-232.32	67.73	0	0	0	-257.605	-60.158	0	0	2C0L	oracle	7
../6_seletopclusts/cluster_1_model_8.pdb	-	8	-92.913	2.927	0.325	10.641	5.866	0.307	4.968	1	1	8	23.56	226.604	52.41	2217.07	0	0	0	3.719	2278.86	-179.355	66.106	0	0	0	-218.912	-63.117	0	0	2C0L	oracle	8
../6_seletopclusts/cluster_1_model_9.pdb	-	9	-82.264	2.971	0.26	10.609	6.042	0.285	4.869	1	1	9	39.884	223.105	48.073	2087.16	0	0	0	5.007	2272.55	-181.346	65.631	0	0	0	-196.452	-54.99	0	0	2C0L	oracle	9
../6_seletopclusts/cluster_1_model_10.pdb	-	10	-80.583	2.979	0.286	11.315	6.106	0.283	5.039	1	1	10	37.718	231.941	52.129	2065.11	0	0	0	11.83	2271.74	-253.128	69.226	0	0	0	-260.969	-45.559	0	0	2C0L	oracle	10
../6_seletopclusts/cluster_1_model_1.pdb	-	1	-82.787	1.395	0.37	2.722	2.608	0.604	1.281	1	1	1	0	308.578	73.731	1274.31	0	0	0	-25.528	2598.62	-135.619	83.579	0	0	0	-165.755	-30.135	0	0	2YVJ	oracle	1
../6_seletopclusts/cluster_1_model_2.pdb	-	2	-67.889	2.304	0.174	4.632	4.795	0.414	1.907	1	1	2	0.087	314.445	73.101	1055.49	0	0	0	-6.24	2588.43	-211.726	84.188	0	0	0	-230.953	-19.313	0	0	2YVJ	oracle	2
../6_seletopclusts/cluster_1_model_3.pdb	-	3	-52.587	2.012	0.217	4.715	4.316	0.446	1.843	1	1	3	0	313.734	74.579	1006.2	0	0	0	-16.376	2610.36	-108.736	82.842	0	0	0	-123.199	-14.464	0	0	2YVJ	oracle	3
../6_seletopclusts/cluster_1_model_1.pdb	-	1	-104.781	1.188	0.649	3.052	2.392	0.716	1.516	1	1	1	0	95.234	28.163	1287.31	0	0	0	8.588	963.505	-450.154	30.193	0	0	0	-473.493	-23.338	0	0	3PC8	oracle	1
../6_seletopclusts/cluster_1_model_2.pdb	-	2	-95.262	1.128	0.73	2.477	2.166	0.763	1.429	1	1	2	0	94.786	27.559	1190.79	0	0	0	9.828	960.209	-392.21	27.042	0	0	0	-418.859	-26.649	0	0	3PC8	oracle	2
../6_seletopclusts/cluster_1_model_3.pdb	-	3	-95.226	1.271	0.595	4.038	2.322	0.664	1.771	1	1	3	0	97.116	30.229	1284.08	0	0	0	17.014	959.307	-494.657	28.963	0	0	0	-507.965	-13.308	0	0	3PC8	oracle	3
../6_seletopclusts/cluster_1_model_4.pdb	-	4	-65.836	1.908	0.324	6.567	5.083	0.444	2.397	1	1	4	0	96.815	28.384	887.423	0	0	0	10.789	961.059	-391.255	29.798	0	0	0	-389.629	1.626	0	0	3PC8	oracle	4
../6_seletopclusts/cluster_1_model_5.pdb	-	5	-59.158	1.267	0.378	2.548	2.557	0.626	1.498	1	1	5	0	95.169	29.433	877.189	0	0	0	13.942	964.594	-367.578	29.84	0	0	0	-367.162	0.416	0	0	3PC8	oracle	5
../6_seletopclusts/cluster_1_model_1.pdb	-	1	-89.66	1.98	0.385	8.043	4.318	0.426	2.778	1	1	1	0.273	558.116	112.423	1691.8	0	0	0	2.98	4295.25	-299.344	149.768	0	0	0	-331.87	-32.799	0	0	4H03	oracle	1
../6_seletopclusts/cluster_1_model_2.pdb	-	2	-82.287	1.426	0.308	4.824	2.136	0.53	2.075	1	1	2	0.03	560.638	113.327	1350.79	0	0	0	1.369	4301.1	-281.257	150.713	0	0	0	-308.635	-27.408	0	0	4H03	oracle	2
../6_seletopclusts/cluster_1_model_3.pdb	-	3	-75.703	1.632	0.231	6.333	2.763	0.444	2.463	1	1	3	0.14	559.981	112.505	1230.2	0	0	0	2.067	4304.75	-277.365	153.858	0	0	0	-299.536	-22.311	0	0	4H03	oracle	3
../6_seletopclusts/cluster_1_model_4.pdb	-	4	-75.162	1.361	0.346	4.925	2.059	0.548	2.069	1	1	4	0.036	558.376	111.734	1297.38	0	0	0	5.561	4302.79	-286.145	151.148	0	0	0	-309.607	-23.497	0	0	4H03	oracle	4
../6_seletopclusts/cluster_1_model_5.pdb	-	5	-73.817	1.672	0.288	5.951	2.624	0.469	2.49	1	1	5	0.118	555.317	110.862	1445.28	0	0	0	3.749	4319.42	-272.551	146.383	0	0	0	-295.501	-23.068	0	0	4H03	oracle	5
../6_seletopclusts/cluster_1_model_6.pdb	-	6	-72.884	1.651	0.25	5.761	2.52	0.463	2.486	1	1	6	0	546.046	110.346	1232.84	0	0	0	0.31	4325.2	-262.676	150.67	0	0	0	-283.335	-20.659	0	0	4H03	oracle	6
../6_seletopclusts/cluster_1_model_7.pdb	-	7	-68.53	1.699	0.327	5.864	2.642	0.481	2.557	1	1	7	0	562.408	113.069	1182.73	0	0	0	3.968	4332.44	-264.085	149.744	0	0	0	-283.765	-19.68	0	0	4H03	oracle	7
../6_seletopclusts/cluster_1_model_8.pdb	-	8	-67.048	1.581	0.25	5.379	2.632	0.479	2.218	1	1	8	0.242	551.5	112.281	1022.8	0	0	0	4.047	4322.65	-280.545	149.286	0	0	0	-295.313	-15.01	0	0	4H03	oracle	8
../6_seletopclusts/cluster_1_model_9.pdb	-	9	-62.131	1.469	0.288	5.596	2.568	0.499	2.245	1	1	9	0	558.144	112.043	1032.26	0	0	0	-1.42	4323.8	-206.203	151.138	0	0	0	-225.674	-19.471	0	0	4H03	oracle	9
